Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Ashaway, RI",Jan-12,$63K,,-57.30%,1,,0.00%,1,,,10,,0.00%,179,,90,87.50%,,-10.90%
"Ashaway, RI",Feb-12,$184K,192.10%,,1,0.00%,,7,600.00%,,15,50.00%,,46,-133,,80.30%,-7.20%,
"Ashaway, RI",May-12,$180K,,-23.40%,1,,0.00%,3,,-25.00%,18,,63.60%,135,,102,95.00%,,-7.20%
"Ashaway, RI",Jun-12,$212K,17.80%,,1,0.00%,,2,-33.30%,,18,0.00%,,82,-53,,88.40%,-6.60%,
"Ashaway, RI",Jul-12,$233K,9.90%,9.60%,3,200.00%,50.00%,2,0.00%,-33.30%,17,-5.60%,41.70%,84,2,-194,96.00%,7.60%,-1.90%
"Ashaway, RI",Sep-12,$204K,,-1.00%,5,,66.70%,3,,200.00%,14,,7.70%,179,,-29,97.70%,,9.10%
"Ashaway, RI",Oct-12,$164K,-19.80%,30.80%,2,-60.00%,100.00%,2,-33.30%,,14,0.00%,16.70%,111,-68,12,91.40%,-6.40%,2.00%
"Ashaway, RI",Nov-12,$135K,-17.70%,-0.40%,4,100.00%,300.00%,4,100.00%,100.00%,12,-14.30%,0.00%,81,-30,77,95.40%,4.10%,-4.60%
"Ashaway, RI",Dec-12,$118K,-12.30%,,1,-75.00%,,,,,10,-16.70%,,228,147,,69.50%,-26.00%,
"Ashaway, RI",Jan-13,$80K,-32.20%,27.00%,1,0.00%,0.00%,4,,300.00%,11,10.00%,10.00%,218,-10,39,82.10%,12.60%,-5.40%
"Ashaway, RI",Mar-13,$56K,,,1,,,2,,,12,,,16,,,100.00%,,
"Ashaway, RI",Apr-13,$305K,445.60%,,3,200.00%,,6,200.00%,,13,8.30%,,135,119,,96.50%,-3.50%,
"Ashaway, RI",May-13,$143K,-53.30%,-20.80%,2,-33.30%,100.00%,3,-50.00%,0.00%,14,7.70%,-22.20%,12,-123,-123,93.40%,-3.10%,-1.60%
"Ashaway, RI",Jun-13,$155K,8.80%,-26.90%,4,100.00%,300.00%,4,33.30%,100.00%,17,21.40%,-5.60%,63,51,-19,91.40%,-2.00%,3.10%
"Ashaway, RI",Jul-13,$123K,-21.00%,-47.40%,1,-75.00%,-66.70%,1,-75.00%,-50.00%,17,0.00%,0.00%,62,-1,-22,94.30%,2.90%,-1.70%
"Ashaway, RI",Aug-13,$119K,-2.90%,,2,100.00%,,4,300.00%,,16,-5.90%,,299,237,,96.70%,2.40%,
"Ashaway, RI",Sep-13,$184K,54.60%,-9.80%,2,0.00%,-60.00%,3,-25.00%,0.00%,16,0.00%,14.30%,66,-233,-113,92.50%,-4.30%,-5.30%
"Ashaway, RI",Oct-13,$230K,24.70%,40.40%,3,50.00%,50.00%,4,33.30%,100.00%,17,6.30%,21.40%,119,53,8,89.10%,-3.40%,-2.30%
