Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Albany County, WY",Jan-12,$209K,23.70%,9.30%,1,0.00%,-50.00%,1,-66.70%,-75.00%,9,0.00%,12.50%,198,59,96,,,
"Albany County, WY",Feb-12,$143K,-31.80%,,1,0.00%,,3,200.00%,,11,22.20%,,362,164,,,,
"Albany County, WY",Mar-12,$205K,43.90%,57.80%,1,0.00%,-75.00%,3,0.00%,-25.00%,13,18.20%,44.40%,44,-318,-33,,,
"Albany County, WY",Apr-12,$184K,-10.20%,-5.60%,3,200.00%,0.00%,5,66.70%,150.00%,15,15.40%,87.50%,106,62,29,,,
"Albany County, WY",May-12,$211K,14.70%,6.60%,3,0.00%,0.00%,4,-20.00%,33.30%,16,6.70%,100.00%,84,-22,-17,,,
"Albany County, WY",Jun-12,$216K,2.30%,-9.50%,3,0.00%,0.00%,3,-25.00%,-25.00%,14,-12.50%,40.00%,69,-15,-90,,,
"Albany County, WY",Jul-12,$168K,-22.10%,-21.40%,1,-66.70%,-50.00%,3,0.00%,200.00%,16,14.30%,77.80%,227,158,107,,,
"Albany County, WY",Aug-12,$190K,12.90%,48.80%,8,700.00%,166.70%,4,33.30%,100.00%,13,-18.80%,62.50%,106,-121,16,,,
"Albany County, WY",Sep-12,$210K,10.70%,,3,-62.50%,,1,-75.00%,,11,-15.40%,,105,-1,,,,
"Albany County, WY",Oct-12,$150K,-28.60%,-33.00%,1,-66.70%,-50.00%,2,100.00%,0.00%,12,9.10%,50.00%,93,-12,1,,,
"Albany County, WY",Nov-12,$95K,-36.70%,-68.10%,1,0.00%,0.00%,,,,12,0.00%,71.40%,513,420,371,,,
"Albany County, WY",Dec-12,$225K,136.70%,33.10%,3,200.00%,200.00%,4,,33.30%,13,8.30%,44.40%,196,-317,57,,,
"Albany County, WY",Jan-13,$240K,6.70%,14.80%,1,-66.70%,0.00%,8,100.00%,700.00%,20,53.80%,122.20%,123,-73,-75,,,
"Albany County, WY",Feb-13,$260K,8.30%,82.40%,1,0.00%,0.00%,5,-37.50%,66.70%,24,20.00%,118.20%,58,-65,-304,,,
"Albany County, WY",Mar-13,$245K,-5.70%,19.50%,1,0.00%,0.00%,2,-60.00%,-33.30%,25,4.20%,92.30%,358,300,314,,,
"Albany County, WY",Apr-13,$199K,-18.90%,8.00%,6,500.00%,100.00%,7,250.00%,40.00%,25,0.00%,66.70%,115,-243,9,,,
"Albany County, WY",May-13,$160K,-19.60%,-24.20%,6,0.00%,100.00%,15,114.30%,275.00%,33,32.00%,106.30%,87,-28,3,,,
"Albany County, WY",Jun-13,$196K,22.90%,-9.00%,3,-50.00%,0.00%,15,0.00%,400.00%,45,36.40%,221.40%,58,-29,-11,,,
"Albany County, WY",Jul-13,$205K,4.40%,22.00%,7,133.30%,600.00%,17,13.30%,466.70%,55,22.20%,243.80%,102,44,-125,,,
"Albany County, WY",Aug-13,$550K,168.30%,189.90%,1,-85.70%,-87.50%,16,-5.90%,300.00%,69,25.50%,430.80%,60,-42,-46,,,
"Albany County, WY",Sep-13,$168K,-69.50%,-20.00%,3,200.00%,0.00%,17,6.30%,1600.00%,83,20.30%,654.50%,133,73,28,,,
"Albany County, WY",Oct-13,$168K,-0.10%,11.80%,8,166.70%,700.00%,22,29.40%,1000.00%,97,16.90%,708.30%,106,-27,13,,,
"Albany County, WY",Nov-13,$250K,49.00%,163.20%,11,37.50%,1000.00%,16,-27.30%,,102,5.20%,750.00%,124,18,-389,,,
"Albany County, WY",Dec-13,$230K,-8.00%,2.20%,11,0.00%,266.70%,13,-18.80%,225.00%,105,2.90%,707.70%,152,28,-44,,,
"Albany County, WY",Jan-14,$252K,9.60%,5.00%,16,45.50%,1500.00%,24,84.60%,200.00%,112,6.70%,460.00%,131,-21,8,,,
"Albany County, WY",Feb-14,$224K,-11.00%,-13.70%,18,12.50%,1700.00%,9,-62.50%,80.00%,101,-9.80%,320.80%,111,-20,53,,,
